index,original_title,overview,release_date,title,cast,director,genres,imdb_title_id,keywords
370,Now You See Me 2,"One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",2016-06-02,Now You See Me 2,Jesse Eisenberg Woody Harrelson Mark Ruffalo Dave Franco Morgan Freeman,Jon M. Chu,Action Adventure Comedy Crime Mystery,tt3110958,london england china magic secret society vigilante
371,The Saint,"Ivan Tretiak, Russian Mafia boss who wants to create an oil crisis in Moscow and seize power as a result sends Simon Templar, great international criminal, to England to get a secret formula for cold fusion from U.S. scientist Emma Russell. Templar falls in love with Emma and they try to outwit Tretiak and his guerrillas, hiding from them in Moscow",1997-04-03,The Saint,Val Kilmer Elisabeth Shue Rade Serbedzija Henry Goodman Alun Armstrong,Phillip Noyce,Thriller Action Romance Science Fiction Adventure,tt0120053,berlin russia gas master thief the saint
372,Spy Game,"Veteran spy Nathan Muir is on the verge of retiring from the CIA when he learns that his one-time protégé and close friend, Tom Bishop, is a political prisoner sentenced to die in Beijing. Although their friendship has been marred by bad blood and resentment, Muir agrees to take on the most dangerous mission of his career and rescue Bishop.",2001-11-18,Spy Game,Robert Redford Brad Pitt Catherine McCormack Stephen Dillane Larry Bryggman,Tony Scott,Action Crime Thriller,tt0266987,spy china cia cold war
373,Mission to Mars,"When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate.",2000-03-10,Mission to Mars,Gary Sinise Tim Robbins Don Cheadle Connie Nielsen Jerry O'Connell,Brian De Palma,Science Fiction,tt0183523,mars spacecraft space travel alien long take
374,Rio,"Captured by smugglers when he was just a hatchling, a macaw named Blu never learned to fly and lives a happily domesticated life in Minnesota with his human friend, Linda. Blu is thought to be the last of his kind, but when word comes that Jewel, a lone female, lives in Rio de Janeiro, Blu and Linda go to meet her. Animal smugglers kidnap Blu and Jewel, but the pair soon escape and begin a perilous adventure back to freedom -- and Linda.",2011-04-03,Rio,Jesse Eisenberg Anne Hathaway Leslie Mann Jane Lynch Will.i.am,Carlos Saldanha,Animation Adventure Comedy Family,tt1436562,brazil pet bird musical canary
375,Bicentennial Man,"Richard Martin buys a gift, a new NDR-114 robot. The product is named Andrew by the youngest of the family's children. ""Bicentennial Man"" follows the life and times of Andrew, a robot purchased as a household appliance programmed to perform menial tasks. As Andrew begins to experience emotions and creative thought, the Martin family soon discovers they don't have an ordinary robot.",1999-12-17,Bicentennial Man,Robin Williams Sam Neill Embeth Davidtz Oliver Platt Kiersten Warren,Chris Columbus,Comedy Science Fiction,tt0182789,android hologram freedom futuristic robot
376,Volcano,"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, Mike Roark, working with geologist Amy Barnes, must then use every resource in the city to try and stop the volcano from consuming Los Angeles.",1997-04-25,Volcano,Tommy Lee Jones Anne Heche Gaby Hoffmann Don Cheadle Joshua Fardon,Mick Jackson,Science Fiction Action Drama Thriller,tt0120461,subway lava volcano volcanologist los angeles
377,The Devil's Own,"Frankie McGuire, one of the IRA's deadliest assassins, draws an American family into the crossfire of terrorism. But when he is sent to the U.S. to buy weapons, Frankie is housed with the family of Tom O'Meara, a New York cop who knows nothing about Frankie's real identity. Their surprising friendship, and Tom's growing suspicions, forces Frankie to choose between the promise of peace or a lifetime of murder.",1997-03-12,The Devil's Own,Harrison Ford Brad Pitt Margaret Colin Rub\u00e9n Blades Treat Williams,Alan J. Pakula,Crime Thriller Drama,tt0118972,new york terrorist anonymity northern ireland
378,K-19: The Widowmaker,"When Russia's first nuclear submarine malfunctions on its maiden voyage, the crew must race to save the ship and prevent a nuclear disaster.",2002-07-19,K-19: The Widowmaker,Harrison Ford Liam Neeson Peter Sarsgaard Joss Ackland John Shrapnel,Kathryn Bigelow,Drama History Thriller,tt0267626,submarine soviet union core melt north atlantic nuclear
379,Conan the Barbarian,"A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",1982-04-02,Conan the Barbarian,Arnold Schwarzenegger James Earl Jones Max von Sydow Sandahl Bergman Cassandra Gava,John Milius,Adventure Fantasy Action,tt0082198,gladiator repayment despot barbarian sword and sorcery
380,Cinderella Man,"The true story of boxer, Jim Braddock who, in the 1920’s after his retirement, has a surprise comeback in order to get him and his family out of a socially poor state.",2005-06-02,Cinderella Man,Russell Crowe Ren\u00e9e Zellweger Paul Giamatti Craig Bierko Paddy Considine,Ron Howard,Romance Drama History,tt0352248,transporter netherlands world cup socially deprived family family's daily life
382,Seabiscuit,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,2003-07-22,Seabiscuit,Jeff Bridges David McCullough Chris Cooper Tobey Maguire Elizabeth Banks,Gary Ross,Drama History,tt0329575,horse race american dream racehorse great depression
383,Twister,"TV weatherman Bill Harding is trying to get his tornado-hunter wife, Jo, to sign divorce papers so he can marry his girlfriend Melissa. But Mother Nature, in the form of a series of intense storms sweeping across Oklahoma, has other plans. Soon the three have joined the team of stormchasers as they attempt to insert a revolutionary measuring device into the very heart of several extremely violent tornados.",1996-05-10,Twister,Helen Hunt Bill Paxton Cary Elwes Jami Gertz Philip Seymour Hoffman,Jan de Bont,Action Adventure Drama,tt0096321,wife husband relationship tornado twister oklahoma metereologist
384,Cast Away,"Chuck, a top international manager for FedEx, and Kelly, a Ph.D. student, are in love and heading towards marriage. Then Chuck's plane to Malaysia ditches at sea during a terrible storm. He's the only survivor, and he washes up on a tiny island with nothing but some flotsam and jetsam from the aircraft's cargo.",2000-12-22,Cast Away,Tom Hanks Helen Hunt Chris Noth Paul Sanchez Lari White,Robert Zemeckis,Adventure Drama,tt0162222,exotic island suicide attempt volleyball loneliness airplane crash
385,Happy Feet,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",2006-11-16,Happy Feet,Elijah Wood Robin Williams Brittany Murphy Hugh Jackman Nicole Kidman,George Miller,Animation Comedy,tt0366548,ocean fish zoo penguin tap dancing
386,The Bourne Supremacy,"When a CIA operation to purchase classified Russian documents is blown by a rival agent, who then shows up in the sleepy seaside village where Bourne and Marie have been living. The pair run for their lives and Bourne, who promised retaliation should anyone from his former life attempt contact, is forced to once again take up his life as a trained assassin to survive.",2004-07-23,The Bourne Supremacy,Matt Damon Franka Potente Brian Cox Julia Stiles Karl Urban,Paul Greengrass,Action Drama Thriller,tt0372183,berlin assassin based on novel amnesia sniper
387,Air Force One,"Russian terrorists conspire to hijack the aircraft with the president and his family on board. The commander in chief finds himself facing an impossible predicament: give in to the terrorists and sacrifice his family, or risk everything to uphold his principles - and the integrity of the nation.",1997-07-25,Air Force One,Harrison Ford Gary Oldman Glenn Close Wendy Crewson William H. Macy,Wolfgang Petersen,Action Thriller,tt0118571,prison corruption journalist white house hostage
388,Ocean's Eleven,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",2001-12-07,Ocean's Eleven,George Clooney Brad Pitt Matt Damon Andy Garc\u00eda Julia Roberts,Steven Soderbergh,Thriller Crime,tt0054135,prison pickpocket strip club con artist atlantic city
389,The Three Musketeers,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.,2011-08-31,The Three Musketeers,Milla Jovovich Orlando Bloom Logan Lerman Ray Stevenson Matthew Macfadyen,Paul W.S. Anderson,Adventure Action Thriller,tt0012752,number in title historical fiction musketeer 17th century 3d
390,Hotel Transylvania,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teen-aged daughter.",2012-09-20,Hotel Transylvania,Adam Sandler Steve Buscemi David Spade Kevin James Selena Gomez,Genndy Tartakovsky,Animation Comedy Family Fantasy,tt0837562,witch magic mummy vampire dracula
391,Enchanted,"The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",2007-11-20,Enchanted,Amy Adams Patrick Dempsey James Marsden Timothy Spall Rachel Covey,Kevin Lima,Comedy Family Fantasy Romance,tt0461770,poison queen fairy tale musical princess
392,Safe House,"A dangerous CIA renegade resurfaces after a decade on the run. When the safe house he's remanded to is attacked by mercenaries, a rookie operative escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead.",2012-02-09,Safe House,Denzel Washington Ryan Reynolds Vera Farmiga Joel Kinnaman Brendan Gleeson,Daniel Espinosa,Action Thriller,tt0120051,cia violence safe house rogue agent cape town south africa
393,102 Dalmatians,"Get ready for a howling good time as an all new assortment of irresistible animal heroes are unleashed in this great family tail! In an unlikely alliance, the outrageous Waddlesworth... a parrot who thinks he's a Rottweiler... teams up with Oddball... an un-marked Dalmation puppy eager to earn her spots! Together they embark on a laugh-packed quest to outwit the ever-scheming Cruella De Vil",2000-10-07,102 Dalmatians,Glenn Close Ioan Gruffudd Alice Evans Tim McInnerny G\u00e9rard Depardieu,Kevin Lima,Comedy Family,tt0211181,london england prison release from prison women's prison society for the prevention of cruelty to animals
394,Tower Heist,"A luxury condo manager leads a staff of workers to seek payback on the Wall Street swindler who defrauded them. With only days until the billionaire gets away with the perfect crime, the unlikely crew of amateur thieves enlists the help of petty crook Slide to steal the $20 million they’re sure is hidden in the penthouse.",2011-11-02,Tower Heist,Ben Stiller Eddie Murphy Casey Affleck Alan Alda Matthew Broderick,Brett Ratner,Action Comedy,tt0471042,skyscraper thanksgiving billionaire parade fbi agent
395,The Holiday,"Two women, one (Cameron Diaz) from America and one (Kate Winslet) from Britain, swap homes at Christmastime after bad breakups with their boyfriends. Each woman finds romance with a local man (Jude Law, Jack Black) but realizes that the imminent return home may end the relationship.",2006-12-08,The Holiday,Cameron Diaz Kate Winslet Jude Law Jack Black Eli Wallach,Nancy Meyers,Comedy Romance,tt0457939,holiday london england film making christmas party country house
396,Enemy of the State,"Hotshot Washington lawyer, Robert Dean becomes a victim of high-tech identity theft when a hacker slips an incriminating video into his pocket. Soon, a rogue National Security agent sets out to recover the tape – and destroy Dean.",1998-11-20,Enemy of the State,Will Smith Gene Hackman Jon Voight Regina King Ian Hart,Tony Scott,Action Drama Thriller,tt0120660,corruption washington d.c. helicopter falsely accused identity
397,It's Complicated,"Ten years after their divorce, Jane and Jake Adler unite for their son's college graduation and unexpectedly end up sleeping together. But Jake is married, and Jane is embarking on a new romance with her architect. Now, she has to sort out her life – just when she thought she had it all figured out.",2009-12-23,It's Complicated,Meryl Streep Alec Baldwin Steve Martin John Krasinski Lake Bell,Nancy Meyers,Comedy Romance,tt1230414,graduation ex husband woman director
398,Ocean's Thirteen,"Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.",2007-06-07,Ocean's Thirteen,George Clooney Brad Pitt Matt Damon Al Pacino Bernie Mac,Steven Soderbergh,Crime Thriller,tt0496806,casino thief revenge heist las vegas
399,Open Season,"Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",2006-09-29,Open Season,Martin Lawrence Ashton Kutcher Gary Sinise Debra Messing Billy Connolly,Jill Culton,Adventure Animation Family,tt0071292,hunter mountains garage grizzly bear bunny
400,Divergent,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",2014-03-14,Divergent,Shailene Woodley Theo James Kate Winslet Miles Teller Ray Stevenson,Neil Burger,Adventure Action Science Fiction,tt1840309,based on novel dystopia youth dystopic future caste system
401,Enemy at the Gates,Enemy at the Gates is a war film from Jean-Jacques Annaud from 2001 that takes place during the battle of Stalingard in World War II between the Russians and the Germans.,2001-03-13,Enemy at the Gates,Jude Law Rachel Weisz Ed Harris Joseph Fiennes Bob Hoskins,Jean-Jacques Annaud,War,tt0215750,winter sniper world war ii stalingrad
402,The Rundown,"When Travis, the mouthy son of a criminal, disappears in the Amazon in search of a treasured artifact, his father sends in Beck, who becomes Travis's rival for the affections of Mariana, a mysterious Brazilian woman. With his steely disposition, Beck is a man of few words -- but it takes him all the discipline he can muster to work with Travis to nab a tyrant who's after the same treasure.",2003-09-26,The Rundown,"Dwayne Johnson Seann William Scott Rosario Dawson Christopher Walken Ernie Reyes, Jr.",Peter Berg,Adventure Action Comedy Thriller,tt0327850,hunter bounty bounty hunter fight amazon
403,Last Action Hero,"Danny is obsessed with a fictional movie character action hero Jack Slater. When a magical ticket transports him into Jack's latest adventure, Danny finds himself in a world where movie magic and reality collide. Now it's up to Danny to save the life of his hero and new friend.",1993-06-18,Last Action Hero,Arnold Schwarzenegger F. Murray Abraham Art Carney Charles Dance Frank McRae,John McTiernan,Adventure Fantasy Action Comedy Family,tt0107362,magic movie in movie spoof magical object cartoon cat
404,Memoirs of a Geisha,"A sweeping romantic epic set in Japan in the years before World War II, a penniless Japanese child is torn from her family to work as a maid in a geisha house.",2005-12-06,Memoirs of a Geisha,Zhang Ziyi Gong Li Youki Kudoh Tsai Chin Suzuka Ohgo,Rob Marshall,Drama History Romance,tt0397535,japan prostitute sister sister relationship brothel world war ii
405,The Fast and the Furious: Tokyo Drift,"In order to avoid a jail sentence, Sean Boswell heads to Tokyo to live with his military father. In a low-rent section of the city, Shaun gets caught up in the underground world of drift racing",2006-06-03,The Fast and the Furious: Tokyo Drift,Lucas Black Nathalie Kelley Sung Kang Shad Moss Brian Tee,Justin Lin,Action Crime Drama Thriller,tt0463985,car race car journey car mechanic auto car garage
406,Arthur Christmas,"Each Christmas, Santa and his vast army of highly trained elves produce gifts and distribute them around the world in one night. However, when one of 600 million children to receive a gift from Santa on Christmas Eve is missed, it is deemed ‘acceptable’ to all but one – Arthur. Arthur Claus is Santa’s misfit son who executes an unauthorized rookie mission to get the last present half way around the globe before dawn on Christmas morning.",2011-02-22,Arthur Christmas,James McAvoy Hugh Laurie Bill Nighy Jim Broadbent Imelda Staunton,Barry Cook,Drama Animation Family Comedy,tt1430607,holiday santa claus duringcreditsstinger woman director christmas
407,Meet Joe Black,"When the grim reaper comes to collect the soul of megamogul Bill Parrish, he arrives with a proposition: Host him for a ""vacation"" among the living in trade for a few more days of existence. Parrish agrees, and using the pseudonym Joe Black, Death begins taking part in Parrish's daily agenda and falls in love with the man's daughter. Yet when Black's holiday is over, so is Parrish's life.",1998-11-12,Meet Joe Black,Brad Pitt Anthony Hopkins Claire Forlani Jeffrey Tambor Marcia Gay Harden,Martin Brest,Fantasy Drama Mystery,tt0119643,life and death love at first sight broken engagement fireworks religion and supernatural
408,Collateral Damage,Firefighter Gordon Brewer is plunged into the complex and dangerous world of international terrorism after he loses his wife and child in a bombing credited to Claudio 'The Wolf' Perrini.,2002-02-06,Collateral Damage,Arnold Schwarzenegger Francesca Neri Elias Koteas Cliff Curtis John Turturro,Andrew Davis,Action Thriller Drama,tt0233469,terrorist fbi colombia firemen revenge
409,All That Jazz,"Bob Fosse's semi-autobiographical film celebrates show business stripped of glitz or giddy illusions. Joe Gideon (Roy Scheider) is at the top of the heap, one of the most successful directors and choreographers in musical theatre. But he can feel his world slowly collapsing around him--his obsession with work has almost destroyed his personal life, and only his bottles of pills keep him going.",1979-12-20,All That Jazz,Roy Scheider Jessica Lange Leland Palmer Ann Reinking Ben Vereen,Bob Fosse,Drama Music,tt0078754,show business film making tap dancing movie in movie divorce
410,Mirror Mirror,"After she spends all her money, an evil enchantress queen schemes to marry a handsome, wealthy prince. There's just one problem - he's in love with a beautiful princess, Snow White. Now, joined by seven rebellious dwarves, Snow White launches an epic battle of good vs. evil...",2012-03-15,Mirror Mirror,Julia Roberts Lily Collins Armie Hammer Nathan Lane Martin Klebba,Tarsem Singh,Adventure Fantasy Drama Comedy Science Fiction,tt0100156,attempted murder fairy tale black magic cockroach villainess
411,Scott Pilgrim vs. the World,"Scott Pilgrim is a film adaptation of the critically acclaimed, award-winning series of graphic novels of the same name by Canadian cartoonist Bryan Lee O’Malley. Scott Pilgrim is a 23 year old Canadian slacker and wannabe rockstar who falls in love with an American delivery girl, Ramona V. Flowers, and must defeat her seven ""evil exes"" to be able to date her.",2010-07-27,Scott Pilgrim vs. the World,Michael Cera Mary Elizabeth Winstead Kieran Culkin Chris Evans Anna Kendrick,Edgar Wright,Action Adventure Comedy,tt0446029,whipping hipster underage girlfriend animated flashback character's point of view camera shot
412,The Core,"Geophysicist Dr. Josh Keyes discovers that an unknown force has caused the earth's inner core to stop rotating. With the planet's magnetic field rapidly deteriorating, our atmosphere literally starts to come apart at the seams with catastrophic consequences. To resolve the crisis, Keyes, along with a team of the world's most gifted scientists, travel into the earth's core. Their mission: detonate a device that will reactivate the core.",2003-03-28,The Core,Aaron Eckhart Hilary Swank Delroy Lindo Stanley Tucci Tch\u00e9ky Karyo,Jon Amiel,Action Thriller Adventure Science Fiction,tt0298814,magnetic field center of the earth disaster film
413,Nutty Professor II: The Klumps,"The hilarity begins when professor Sherman Klump finds romance with fellow DNA specialist, Denise Gaines, and discovers a brilliant formula that reverses aging. But Sherman's thin and obnoxious alter ego, Buddy Love, wants out...and a big piece of the action. And when Buddy gets loose, things get seriously nutty.",2000-07-27,Nutty Professor II: The Klumps,Eddie Murphy Janet Jackson Larry Miller John Ales Richard Gant,Peter Segal,Fantasy Comedy Romance Science Fiction,tt0144528,alter ego mad scientist family dean duringcreditsstinger
414,Scooby-Doo,"The Mystery Inc. gang have gone their separate ways and have been apart for two years, until they each receive an invitation to Spooky Island. Not knowing that the others have also been invited, they show up and discover an amusement park that affects young visitors in very strange ways.",2002-06-14,Scooby-Doo,Freddie Prinze Jr. Sarah Michelle Gellar Matthew Lillard Linda Cardellini Rowan Atkinson,Raja Gosnell,Mystery Adventure Comedy,tt0267913,amateur detective voodoo resort crime solving
415,Dredd,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",2012-09-07,Dredd,Karl Urban Olivia Thirlby Lena Headey Wood Harris Jason Cope,Pete Travis,Action Science Fiction,tt1343727,usa corruption crime fighter judge metropolis
416,Click,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.,2006-06-22,Click,Adam Sandler Kate Beckinsale Christopher Walken David Hasselhoff Henry Winkler,Frank Coraci,Comedy Drama Fantasy Romance,tt0389860,regret workaholic heart attack architect dying and death
417,Creepshow,"Inspired by the E.C. comics of the 1950s, George A.Romero and Stephen King bring five tales of terror to the screen.",1982-11-12,Creepshow,Hal Holbrook Adrienne Barbeau Fritz Weaver Leslie Nielsen Carrie Nye,George A. Romero,Horror Comedy Fantasy,tt0083767,monster halloween meteor buried alive cockroach
419,Jumper,"David Rice is a man who knows no boundaries, a Jumper, born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself, David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now, David’s extraordinary gift may be his only hope for survival!",2008-02-10,Jumper,Hayden Christensen Jamie Bell Samuel L. Jackson Rachel Bilson Michael Rooker,Doug Liman,Adventure Fantasy Science Fiction,tt0489099,adolescence based on novel loss of child fight chase
420,Hellboy II: The Golden Army,"In this continuation to the adventure of the demon superhero, an evil elf breaks an ancient pact between humans and creatures, as he declares war against humanity. He is on a mission to release The Golden Army, a deadly group of fighting machines that can destroy the human race. As Hell on Earth is ready to erupt, Hellboy and his crew set out to defeat the evil prince.",2008-07-11,Hellboy II: The Golden Army,Ron Perlman Selma Blair Jeffrey Tambor Doug Jones John Hurt,Guillermo del Toro,Adventure Fantasy Science Fiction,tt0411477,auction northern ireland resignation superhero rebellion
421,Zodiac,"The true story of the investigation of 'The Zodiac Killer',  a serial killer who terrified the San Francisco Bay Area, taunting police with his ciphers and letters. The case becomes an obsession for four men as their lives and careers are built and destroyed by the endless trail of clues.",2007-03-02,Zodiac,Jake Gyllenhaal Robert Downey Jr. Mark Ruffalo Anthony Edwards Brian Cox,David Fincher,Crime Drama Mystery Thriller,tt0443706,california san francisco killing journalist newspaper
422,The 6th Day,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,2000-11-17,The 6th Day,Arnold Schwarzenegger Michael Rapaport Tony Goldwyn Michael Rooker Sarah Wynter,Roger Spottiswoode,Science Fiction,tt0216216,clone future murder cloning laser gun
423,Bruce Almighty,"Bruce Nolan toils as a ""human interest"" television reporter in Buffalo, N.Y. Despite his high ratings and the love of his beautiful girlfriend, Grace, Bruce remains unfulfilled. At the end of the worst day in his life, he angrily ridicules God -- and the Almighty responds, endowing Bruce with all of His divine powers.",2003-05-23,Bruce Almighty,Jim Carrey Jennifer Aniston Philip Baker Hall Catherine Bell Lisa Ann Walter,Tom Shadyac,Fantasy Comedy,tt0315327,christianity moon responsability moses street gang
424,The Expendables,"Barney Ross leads a band of highly skilled mercenaries including knife enthusiast Lee Christmas, a martial arts expert, heavy weapons specialist, demolitionist, and a loose-cannon sniper. When the group is commissioned by the mysterious Mr. Church to assassinate the dictator of a small South American island, Barney and Lee visit the remote locale to scout out their opposition and discover the true nature of the conflict engulfing the city.",2010-08-03,The Expendables,Sylvester Stallone Jason Statham Dolph Lundgren Eric Roberts Randy Couture,Sylvester Stallone,Thriller Adventure Action,tt0095122,tattoo martial arts sniper island mercenary
425,Mission: Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",1996-05-22,Mission: Impossible,Tom Cruise Jon Voight Emmanuelle B\u00e9art Henry Czerny Jean Reno,Brian De Palma,Adventure Action Thriller,tt0117060,paris london england spy cia terrorist
426,The Hunger Games,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",2012-03-12,The Hunger Games,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Gary Ross,Science Fiction Adventure Fantasy,tt1392170,hallucination dystopia female protagonist bow and arrow knife throwing
427,The Hangover Part II,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",2011-05-25,The Hangover Part II,Bradley Cooper Ed Helms Zach Galifianakis Justin Bartha Ken Jeong,Todd Phillips,Comedy,tt1411697,sun glasses interpol undercover cop hangover duringcreditsstinger
428,Batman Returns,"Having defeated the Joker, Batman now faces the Penguin - a warped and deformed individual who is intent on being accepted into Gotham society. Crooked businessman Max Schreck is coerced into helping him become Mayor of Gotham and they both attempt to expose Batman in a different light. Selina Kyle, Max's secretary, is thrown from the top of a building and is transformed into Catwoman - a mysterious figure who has the same personality disorder as Batman. Batman must attempt to clear his name, all the time deciding just what must be done with the Catwoman.",1992-06-19,Batman Returns,Michael Keaton Danny DeVito Michelle Pfeiffer Christopher Walken Michael Gough,Tim Burton,Action Fantasy,tt0103776,holiday corruption double life dc comics crime fighter
429,Over the Hedge,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating – and learns a lesson about family himself.",2006-04-22,Over the Hedge,Bruce Willis Garry Shandling Steve Carell Wanda Sykes William Shatner,Karey Kirkpatrick,Comedy Animation Family,tt0327084,squirrel eating and drinking vororte garden grizzly bear
430,Lilo & Stitch,"A lonely Hawaiian girl named Lilo is being raised by her older sister, Nani, after their parents die -- under the watch of social worker Cobra Bubbles. When Lilo adopts a funny-looking dog and names him ""Stitch,"" she doesn't realize her new best friend is a wacky alien created by mad scientist Dr. Jumba.",2002-06-21,Lilo & Stitch,Chris Sanders Daveigh Chase Tia Carrere David Ogden Stiers Kevin McDonald,Chris Sanders,Animation Family,tt0275847,sister sister relationship extraterrestrial technology hawaii adoption mutation
431,Charlotte's Web,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.",2006-12-15,Charlotte's Web,Julia Roberts Steve Buscemi John Cleese Oprah Winfrey Cedric the Entertainer,Gary Winick,Comedy Family Fantasy,tt0070016,hero barn spider pig egg
432,Deep Impact,"A seven-mile-wide space rock is hurtling toward Earth, threatening to obliterate the planet. Now, it's up to the president of the United States to save the world. He appoints a tough-as-nails veteran astronaut to lead a joint American-Russian crew into space to destroy the comet before impact. Meanwhile, an enterprising reporter uses her smarts to uncover the scoop of the century.",1998-05-08,Deep Impact,Robert Duvall T\u00e9a Leoni Elijah Wood Vanessa Redgrave Morgan Freeman,Mimi Leder,Action Drama Romance,tt0120647,usa president nasa metereologist space mission comet
433,RED 2,Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,2013-07-18,RED 2,Bruce Willis Catherine Zeta-Jones Anthony Hopkins Helen Mirren John Malkovich,Dean Parisot,Action Comedy Crime Thriller,tt1821694,paris london england cia russia mi6
434,The Longest Yard,"Pro quarter-back, Paul Crewe and former college champion and coach, Nate Scarboro are doing time in the same prison. Asked to put together a team of inmates to take on the guards, Crewe enlists the help of Scarboro to coach the inmates to victory in a football game 'fixed' to turn out quite another way.",2005-05-19,The Longest Yard,Adam Sandler Chris Rock Burt Reynolds Michael Irvin Nelly,Peter Segal,Comedy Drama,tt0071771,prison american football prisoner blackmail supervisor
435,Alvin and the Chipmunks: Chipwrecked,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",2011-12-14,Alvin and the Chipmunks: Chipwrecked,Jason Lee David Cross Jenny Slate Andy Buckley Justin Long,Mike Mitchell,Comedy Fantasy Family Music Animation,tt1615918,sequel chipmunk cruise ship overboard
